id,name,short_name,description,address_line1,address_line2,city,state,zip,country,phone,email,tax_id,lat,lng,status,full_address
20,Chinmaya Sundaram,UPD,Chinmaya Sundaram,12825 Burnet Rd,,AUSTIN,TX,78727,US,281-793-1150,LALITHA1.BALAVIHAR@GMAIL.COM,,30.425482,-97.7013201,A,"12825 Burnet Rd, AUSTIN, TX - 78727, US"
21,Apple Valley,UPD,Apple Valley,13356 Apple Valley Rd,,Apple Valley,CA,92308,US,716-316-2248,cmla-ap-coordinator@chinmayala.org,,34.4937981,-117.2434067,A,"13356 Apple Valley Rd, Apple Valley, CA - 92308, US"
23,Chinmaya Rameshwaram,UPD,Chinmaya Rameshwaram,14451 Franklin Ave,,TUSTIN,CA,92780,US,714-749-0998,rekhaacharya12@gmail.com,,33.7177824,-117.8070547,A,"14451 Franklin Ave, TUSTIN, CA - 92780, US"
24,Chinmaya Mission Vancouver,UPD,Chinmaya Mission Vancouver,155 E 54th Ave,,Vancouver,BC,V5X 1K7,CA,,,,49.2212884,-123.1028178,A,"155 E 54th Ave, Vancouver, BC - V5X 1K7, CA"
25,Chinmaya Mission Kansas City,UPD,Chinmaya Mission Kansas City,15711 Cedar St,,Overland Park,KS,66224,US,,,,38.845424,-94.6433601,A,"15711 Cedar St, Overland Park, KS - 66224, US"
26,Chinmaya Mission Beaumont,UPD,Chinmaya Mission Beaumont,1580 S Major Dr,,Beaumont,TX,77707,US,,,,30.0609235,-94.1912595,A,"1580 S Major Dr, Beaumont, TX - 77707, US"
27,Chinmaya Mission London,UPD,Chinmaya Mission London,1650 Hastings Dr,,London,ON,N5X 3E3,CA,226-376-6472,krishnaveni.ashok@chinmayalondon.org,,43.0362016,-81.2692621,A,"1650 Hastings Dr, London, ON - N5X 3E3, CA"
28,Rancho Cucamonga,UPD,Rancho Cucamonga,1700 N Towne Ave,,Claremont,CA,91711,US,323-947-1362,cmla-rc-coordinator@chinmayala.org,,34.1146729,-117.7361003,A,"1700 N Towne Ave, Claremont, CA - 91711, US"
29,Berkeley,UPD,Berkeley,1701 San Pablo Ave,,Berkeley,CA,94702,US,,ritu.bansal-mutalik@cmsj.org,,37.8727271,-122.2930451,A,"1701 San Pablo Ave, Berkeley, CA - 94702, US"
30,Chinmaya Mission Bakersfield,UPD,Chinmaya Mission Bakersfield,1723 Country Breeze Pl,,Bakersfield,CA,93312,US,,,,35.3728682,-119.1117576,A,"1723 Country Breeze Pl, Bakersfield, CA - 93312, US"
31,Hindu Temple,UPD,Hindu Temple,173 Vernon Jones Ave,,Brandon,MS,39047,US,601-842-2280,asrao920@gmail.com,,32.3719082,-90.0569241,A,"173 Vernon Jones Ave, Brandon, MS - 39047, US"
32,UUCLR,UPD,UUCLR,1818 Reservoir Rd,,Little Rock,AR,72227,US,870-718-6386,chinmayabalaviharlr@gmail.com,,34.7693149,-92.3767729,A,"1818 Reservoir Rd, Little Rock, AR - 72227, US"
33,CMB Newton,UPD,CMB Newton,1844 Commonwealth Ave,,Newton,MA,02466,US,781-698-8956,sumaarao@gmail.com,,42.343169,-71.2443859,A,"1844 Commonwealth Ave, Newton, MA - 02466, US"
34,Chinmaya Ramdoot,UPD,Chinmaya Ramdoot,1941 Holland Brook Rd W,,Branchburg,NJ,08876,US,862-345-0795,info@chinmayaramdoot.com,,40.5531491,-74.7260412,A,"1941 Holland Brook Rd W, Branchburg, NJ - 08876, US"
35,Brea,UPD,Brea,5600 Carbon Canyon Rd,,Brea,CA,92823,US,909-243-9483,cmla-br-coordinator@chinmayala.org,,33.9248491,-117.8076468,A,"5600 Carbon Canyon Rd, Brea, CA - 92823, US"
36,Chinmaya Mission Halton,UPD,Chinmaya Mission Halton,917-B Nippissing Road,,Milton,ON,L9T 5E3,CA,905-814-4555,chinmayahalton@sympatico.ca,,43.52456,-79.86247,A,"917-B Nippissing Road, Milton, ON - L9T 5E3, CA"
37,Chinmaya Mission Mahwah,UPD,Chinmaya Mission Mahwah,247 W Ramapo Ave,,Mahwah,NJ,07430,US,201-707-7186,sudha.sankaran92@gmail.com,,41.0960329,-74.1635854,A,"247 W Ramapo Ave, Mahwah, NJ - 07430, US"
38,Chinmaya Mission Raleigh-Durham,UPD,Chinmaya Mission Raleigh-Durham: Unincorporated,2605 Pathview Ct,,Raleigh,NC,27613,US,919-676-1767,websevaks@chinmaya-rdu.org,,35.9424009,-78.7313687,A,"2605 Pathview Ct, Raleigh, NC - 27613, US"
39,Santa Clarita,UPD,Santa Clarita,26640 Bouquet Canyon Rd,,Santa Clarita,CA,91350,US,661-903-0620,cmla-sc-coordinator@chinmayala.org,,34.43065929999999,-118.5342326,A,"26640 Bouquet Canyon Rd, Santa Clarita, CA - 91350, US"
41,Hindu Samaj Chinmaya Bala Vihar,UPD,Hindu Samaj Chinmaya Bala Vihar,3 Brown Rd,,Wappingers Falls,NY,12590,US,845-242-5496,hschinmayabv@gmail.com,,41.5853146,-73.8570221,A,"3 Brown Rd, Wappingers Falls, NY - 12590, US"
42,North Presbyterian Church,UPD,North Presbyterian Church,300 N Forest Rd,,Williamsville,NY,14221,US,716-908-0266,balvihaar@gmail.com,,42.9687201,-78.760771,A,"300 N Forest Rd, Williamsville, NY - 14221, US"
43,Chinmaya Bala Vihar Manhattan,UPD,Chinmaya Bala Vihar Manhattan,312 E 95th St,,New York,NY,10128,US,646-752-0241,cmbvuptown@chinmayanewyork.org,,40.78293559999999,-73.946774,A,"312 E 95th St, New York, NY - 10128, US"
44,Chinmaya Mission Sacramento,UPD,Chinmaya Mission Sacramento,3231 Ramos Cir,,Sacramento,CA,95827,US,916-791-2141,SacBV@chinmaya-sacramento.org,,38.5756378,-121.3096825,A,"3231 Ramos Cir, Sacramento, CA - 95827, US"
45,Chinmaya Mission Phoenix,UPD,Chinmaya Mission Phoenix,325 S El Dorado,,MESA,AZ,85202,US,48-696-9487,r_varada@hotmail.com,,33.4089726,-111.8867655,A,"325 S El Dorado, MESA, AZ - 85202, US"
46,Frederick Chapter,UPD,Frederick Chapter,3511 Pontius Ct,,Ijamsville,MD,21754,US,301-326-6574,director@chinmayafrederick.org,,39.3291785,-77.3363011,A,"3511 Pontius Ct, Ijamsville, MD - 21754, US"
47,Chinmaya Mission Portland,UPD,Chinmaya Mission Portland,3551 NW John Olsen Pl,,Hillsboro,OR,97124,US,,,,45.5446737,-122.8807329,A,"3551 NW John Olsen Pl, Hillsboro, OR - 97124, US"
48,Chinmaya Amarnath,UPD,Chinmaya Amarnath,358 Mars Valencia Rd,,Mars,PA,16046,US,412-965-6078,suresh_mulukutla@hotmail.com,,40.6851496,-80.0049088,A,"358 Mars Valencia Rd, Mars, PA - 16046, US"
49,South Fayette Middle School (South Hills),UPD,South Fayette Middle School (South Hills),3700 Old Oakdale Rd,,McDonald,PA,15057,US,412-916-8780,ganeshk76@yahoo.com,,40.3774996,-80.1706137,A,"3700 Old Oakdale Rd, McDonald, PA - 15057, US"
50,Chinmaya Sanjeevani,UPD,Chinmaya Sanjeevani,3817 Northern Pike,,Monroeville,PA,15146,US,724-888-3136,muluk@usa.net,,40.438874,-79.781044,A,"3817 Northern Pike, Monroeville, PA - 15146, US"
51,Fremont,UPD,Fremont,38442 Fremont Blvd,,Fremont,CA,94536,US,408-836-8013,shailaja.sharma@cmsj.org,,37.5528194,-121.9948226,A,"38442 Fremont Blvd, Fremont, CA - 94536, US"
52,Chinmaya Saraswati Ashram - Devi Temple,UPD,Chinmaya Saraswati Ashram & Devi Temple,393 Derby Ave,,Orange,CT,06477,US,203-521-6626,vnganti01@gmail.com,,41.2997601,-73.0199807,A,"393 Derby Ave, Orange, CT - 06477, US"
53,Chinmaya Mission Kissimmee,UPD,Chinmaya Mission Kissimmee,3999 Monterey Rd,,Kissimmee,FL,34758,US,407-613-0062,madangurdial@hotmail.com,,28.1732475,-81.4930059,A,"3999 Monterey Rd, Kissimmee, FL - 34758, US"
54,Chinmaya Mission NW Arkansas,UPD,Chinmaya Mission NW Arkansas,4000 SW Banbury Dr,,Bentonville,AR,72712,US,,,,36.3323951,-94.2302717,A,"4000 SW Banbury Dr, Bentonville, AR - 72712, US"
55,Marietta Chapter at Powers Ferry Elementary school,UPD,Marietta Chapter at Powers Ferry Elementary school,403 Powers Ferry Rd,,Marietta,GA,30067,US,419-480-7095,utpalneha@gmail.com,,33.94313510000001,-84.4937645,A,"403 Powers Ferry Rd, Marietta, GA - 30067, US"
56,Antelope Valley,UPD,Antelope Valley,42102 30th St W,,Lancaster,CA,93536,US,661-400-0249,cmla-an-coordinator@chinmayala.org,,34.6473023,-118.1825022,A,"42102 30th St W, Lancaster, CA - 93536, US"
57,Chinmaya Somnath,UPD,Chinmaya Somnath,4350 Blue Spring Dr,,Chantilly,VA,20151,US,301-318-6357,bvdirector@chinmayasomnath.org,,38.903992,-77.478483,A,"4350 Blue Spring Dr, Chantilly, VA - 20151, US"
58,"Albany, NY",UPD,"Albany, NY",450 Albany Shaker Rd,,Albany,NY,12211,US,518-339-3132,giridharj24@gmail.com,,42.7015582,-73.7751349,A,"450 Albany Shaker Rd, Albany, NY - 12211, US"
59,Chinmayam,UPD,Chinmayam,46 Norwood Rd,,Silver Spring,MD,20905,US,571-338-9753,BVDirector@chinmayam.org,,39.1081302,-77.0052109,A,"46 Norwood Rd, Silver Spring, MD - 20905, US"
60,Chinmaya Mission Ann Arbor,UPD,Chinmaya Mission Ann Arbor,4760 Packard St,,Ann Arbor,MI,48108,US,734-434-1740,sharada@chinmaya-aa.org,,42.2442504,-83.6650131,A,"4760 Packard St, Ann Arbor, MI - 48108, US"
61,Chinmaya Mission New Orleans,UPD,Chinmaya Mission New Orleans,4824 Pike Dr,,Metairie,LA,70003,US,504-258-7793,pponnapa@gmail.com,,30.0244243,-90.2206374,A,"4824 Pike Dr, Metairie, LA - 70003, US"
62,Chinmaya Gurukul,UPD,Chinmaya Gurukul,4980 Pittman Rd,,Cumming,GA,30040,US,678-467-5362,bhavanakss@yahoo.com,,34.1942827,-84.2082381,A,"4980 Pittman Rd, Cumming, GA - 30040, US"
63,Chinmaya Mission Rio Grande ,UPD,Chinmaya Mission Rio Grande : Unincorporated,5015 Noche Bella Loop,,Las Cruces,NM,88011,US,,,,32.2653948,-106.7191563,A,"5015 Noche Bella Loop, Las Cruces, NM - 88011, US"
64,Chinmaya Arcanā,UPD,Chinmaya Arcanā,5302 Liberty Rd N,,Powell,OH,43065,US,614-288-7115,lahotimpl@gmail.com,,40.2271411,-83.0846812,A,"5302 Liberty Rd N, Powell, OH - 43065, US"
65,Chinmaya Niketan - Chinmaya Mission Atlanta,UPD,Chinmaya Niketan - Chinmaya Mission Atlanta,5511 Williams Rd,,Norcross,GA,30093,US,678-232-9261,pradeepa.duddilla@gmail.com,,33.9004478,-84.1743202,A,"5511 Williams Rd, Norcross, GA - 30093, US"
66,San Jose,UPD,San Jose,555 Dana Ave,,San Jose,CA,95126,US,408-636-6810,sukanya.ramachandran@cmsj.org,,37.3280917,-121.9237777,A,"555 Dana Ave, San Jose, CA - 95126, US"
67,Chinmaya Mission Niagara,UPD,Chinmaya Mission Niagara,5743 Valley Way,,Niagara Falls,ON,L2E 1X7,CA,,,,43.0986956,-79.0896157,A,"5743 Valley Way, Niagara Falls, ON - L2E 1X7, CA"
68,Hindu Temple of Atlanta,UPD,Hindu Temple of Atlanta,5851 GA-85,,Riverdale,GA,30274,US,770-401-9366,anunathan66@gmail.com,,33.5954124,-84.4086488,A,"5851 GA-85, Riverdale, GA - 30274, US"
70,Chinmaya Mission Fresno,UPD,Chinmaya Mission Fresno,627 W Omaha Ave,,Clovis,CA,93619,US,559-321-4197,chitu0011@gmail.com,,36.8564517,-119.7257274,A,"627 W Omaha Ave, Clovis, CA - 93619, US"
71,Chinmaya Mission Flint,UPD,Chinmaya Mission Flint,6499 Calkins Rd,,Flint,MI,48532,US,,,,43.0155779,-83.8117903,A,"6499 Calkins Rd, Flint, MI - 48532, US"
72,"CMB Seacoast, NH",UPD,"CMB Seacoast, NH",75 Portsmouth Ave,,Stratham,NH,03885,US,978-902-4913,vasmallela@gmail.com,,42.9869651,-70.9348078,A,"75 Portsmouth Ave, Stratham, NH - 03885, US"
73,Chinmaya Mission Toronto,UPD,Chinmaya Mission Toronto,8 Seasons Dr,,Toronto,ON,M1X 1X4,CA,647-219-5230,deepaysingh@gmail.com,,43.8296486,-79.2330439,A,"8 Seasons Dr, Toronto, ON - M1X 1X4, CA"
74,Chinmaya Mission Peoria,UPD,Chinmaya Mission Peoria,8001 N University St,,Peoria,IL,61615,US,,,,40.7847502,-89.6226633,A,"8001 N University St, Peoria, IL - 61615, US"
75,Chinmaya Mission NWI - Omkara,UPD,Chinmaya Mission NWI - Omkara,8705 Merrillville rd,,Merrillville,In,46410,US,219-671-6651,wejaya@yahoo.com,,41.4594311,-87.3465392,A,"8705 Merrillville rd, Merrillville, In - 46410, US"
76,Chinmaya Mission Toronto,UPD,Chinmaya Mission Toronto,8832 The Gore Rd,,Brampton,ON,L6P 0B1,CA,647-219-5230,deepaysingh@gmail.com,,43.7685036,-79.6595957,A,"8832 The Gore Rd, Brampton, ON - L6P 0B1, CA"
77,Chinmaya Mission Buffalo ,UPD,Chinmaya Mission Buffalo : Unincorporated,9 Redspire Way,,East Amherst,NY,14051,US,,,,43.0227053,-78.7031095,A,"9 Redspire Way, East Amherst, NY - 14051, US"
78,San Mateo,UPD,San Mateo,900 Alameda de las Pulgas,,San Mateo,CA,94402,US,650-796-4301,ruchita.parat@cmsj.org,,37.54992050000001,-122.3303828,A,"900 Alameda de las Pulgas, San Mateo, CA - 94402, US"
79,Chinmaya Madhuvan,UPD,Chinmaya Madhuvan,905 Big Oak Rd,,Morrisville,PA,19067,US,,,,40.2087575,-74.8166709,A,"905 Big Oak Rd, Morrisville, PA - 19067, US"
80,Chinmaya Mission San Antonio,UPD,Chinmaya Mission San Antonio,9086 Vista Verde,,San Antonio,TX,78255,US,,,,29.6322049,-98.6681808,A,"9086 Vista Verde, San Antonio, TX - 78255, US"
81,Chinmaya Vrindavan,UPD,Chinmaya Vrindavan,95 Cranbury Neck rd,,Cranbury,NJ,08512,US,408-667-3796,ramramachandran@chinmayavrindavan.org,,40.3089353,-74.5605169,A,"95 Cranbury Neck rd, Cranbury, NJ - 08512, US"
82,San Gabriel,UPD,San Gabriel,9677 Longden Ave,,Temple City,CA,91780,US,626-272-4643,cmla-sg-coordinator@chinmayala.org,,34.1149656,-118.0595107,A,"9677 Longden Ave, Temple City, CA - 91780, US"
84,San Ramon,UPD,San Ramon,9870 Broadmoor Dr,,San Ramon,CA,94583,US,925-787-6103,mkapadia@cmsj.org,,37.747458,-121.9456668,A,"9870 Broadmoor Dr, San Ramon, CA - 94583, US"
85,Redlands,UPD,Online,,,Redlands,CA,,US,714-265-7606,cmla-rd-coordinator@chinmayala.org,,,,A,"Redlands, CA, US"
86,Chinmaya Mission San Jose - Mountain house location,UPD,Chinmaya Mission San Jose - Mountain house location ,1667 S Corinthian way,,Tracy,CA,95391,US,,mountainhouseb@cmsj.org,,37.75552,-121.54102,A,"1667 S Corinthian way, Tracy, CA 95391, US"
87,CM Trinidad,UPD,CM Trinidad,Rd #1 Mc Bean Couva,,Couva,,,TT,868-497-5132,cmttbalavihar@gmail.com,,,,A,"Rd #1 Mc Bean Couva, Couva, TT"
88,Chinmaya-Saaket,UPD,Chinmaya-Saaket,17701 Davenport Rd,,Dallas,TX,75252,US,214-732-1419,secretary@cmdfw.org,,32.9903214,-96.7942022,A,"17701 Davenport Rd, Dallas, TX - 75252, US"
89,Chinmaya-Chitrakoot,UPD,Chinmaya-Chitrakoot,900 N Belt Line Rd,,Irving,TX,75061,US,214-732-1419,secretary@cmdfw.org,,32.82318180000001,-96.9929443,A,"900 N Belt Line Rd, Irving, TX - 75061, US"
90,Chinmaya-Frisco,UPD,Chinmaya-Frisco,12615 Jereme Trail,,Frisco,TX,75035,US,214-732-1419,secretary@cmdfw.org,,33.1225108,-96.7695951,A,"12615 Jereme Trail, Frisco, TX - 75035, US"
92,Chinmaya Mahaveer,Mahaveer,CM Arkansas NW,1200 W Walnut St,,Rogers,AR,72758,US,479-903-4518,nallurs@chinmayamahaveer.org,,36.3328623,-94.1339446,A,"1200 W Walnut St, Rogers, AR - 72758, US"
94,Chinmaya Mission Chicago,Yamunotri,CM Chigaco Bala VIhar Location,30877 N Fairfield Rd,,Grayslake,IL,60030,US,847-477-5157,ashok.v.bhatia@gmail.com,,42.3117717,-88.1098788,A,"30877 N Fairfield Rd, Grayslake, IL - 60030, US"
95,Chinmaya Mission Chicago,Gangotri,Urban Prairie Waldorf School,1310 S Ashland Ave,,Chicago,IL,60608,US,203-450-4540,pkanabar@gmail.com,,41.8646635,-87.6667808,A,"1310 S Ashland Ave, Chicago, IL - 60608, US"
96,Chinmaya Mission Downtown Manhattan,Downtown Manhattan,Avenues The World School,259 10th Ave,,New York,NY,10001,US,,cmbvdowntown@chinmayanewyork.org,,40.749409,-74.003311,A,"259 10th Ave, New York, NY-10001, US"
97,Chinmaya Mission Westchester,Westchester Bala Vihar,The Masters School,49 Clinton Ave,,Dobbs Ferry,NY,10522,US,,westchesterbv@chinmayanewyork.org,,41.01034,-73.87086,A,"49 Clinton Ave, Dobbs Ferry, NY-10522, US"
98,Chinmaya Mission New York,Upavan,Chinmaya Upavan,129 Woodbury Rd,,Woodbury,NY,11797,US,,info@chinmayanewyork.org,,40.8203,-73.4684,A,"129 Woodbury Rd, Woodbury, NY - 11797, US"
99,Central Chinmaya Mission Trust,CCMT,Umbrella anchor (CCMT Powai),Saki Vihar Rd,,"Powai, Mumbai",,400072,IN,+91-22-2803-4900,ccmt@chinmayamission.com,,19.1197,72.9053,A,"Saki Vihar Rd, Powai, Mumbai - 400072, IN"
100,Sandeepany Himalayas (Sidhbari),Sidhbari,Sandeepany Himalayas Sidhbari,Tapovan Rd,,"Sidhbari, Dharamshala",HP,176057,IN,+91-1892-236199,sidhbari@chinmayamission.com,,32.1879,76.3175,A,"Tapovan Rd, Sidhbari, Dharamshala, Distt. Kangra, HP - 176057, IN"
101,Chinmaya Mangalam,Mangalam,CMDFW retreat camp,10470 W FM 744,,Barry,TX,75102,US,(972) 250-2470,,,31.9938,-96.6394,A,"10470 W FM 744, Barry, TX - 75102, US"
